Method;F1score
BDEEmb;0,4006070237293551
GWEmb;0,0
SEGKEmb;0,0
DRNEEmb;0,5090597259832514
S2VEmb;0,0
GASEmb;0,5035734653274487
RidEmb;0,517130211945438
