Method;Eigen;Close;Between
BDEEmb;1,2841414651531231e-05;0,003117642504447166;0,04120143775016154
GWEmb;0,0029549250070789557;0,0014640098488873613;0,04480815375011878
SEGKEmb;0,010500524569588318;0,002508676297366414;0,0511925274833554
DRNEEmb;0,003511807181777929;0,002991117879405699;0,048554611993011906
S2VEmb;0,005660228107273757;0,0015703699175998234;0,04809642759886404
GASEmb;0,016158194111167437;0,0015679595031406854;0,06206222139770738
RidEmb;0,012628980878246598;0,0015718734220891279;0,05351337658847849
