Method;F1score
BDEEmb;0,5737487341772151
GWEmb;0,5803841772151896
SEGKEmb;0,5312373417721519
DRNEEmb;0,5668234177215188
S2VEmb;0,5531487341772151
GASEmb;0,5792715189873419
RidEmb;0,5573544303797466
