Method;F1score
BDEEmb;0,7502735042735044
GWEmb;0,7526039886039887
SEGKEmb;0,7560740740740741
DRNEEmb;0,762991452991453
S2VEmb;0,7659373219373218
GASEmb;0,7473504273504274
RidEmb;0,7613903133903134
