Method	Eigen	Between
BDEEmb	0,00230109674198636	0,00810170465690206
GWEmb	0	0
SEGKEmb	0	0
DRNEEmb	0,0101664338212882	0,0129549991143929
S2VEmb	0	0
GASEmb	0,0104338992728208	0,012549124763179
RidEmb	0,00820566553611297	0,0110101479681168
