Method;F1score
BDEEmb;0,4270111837591648
GWEmb;0,4249182287835079
SEGKEmb;0,430065330346589
DRNEEmb;0,41389120425859033
S2VEmb;0,0
GASEmb;0,42864374312897285
RidEmb;0,4203006406070475
