Method;Eigen;Close;Between
BDEEmb;1,2322802529570959e-05;0,0009459124656477838;0,007555848031096791
GWEmb;0,0008509270737530167;0,000794595340301301;0,011666616432634233
SEGKEmb;0,0033762892809585817;0,0010579653421526182;0,014137056850869158
DRNEEmb;0,0005970102084516798;0,0013241888599299439;0,009886704749996825
S2VEmb;0,0024703830887168304;0,00048470058806603615;0,00719228859034127
GASEmb;0,015647384011761068;0,0035055142747001324;0,026861010926186358
RidEmb;0,005088200111593392;0,0016441542432723902;0,01497210419201219
